"OTU.ID" "Mean.blank" "NIOZ164.1.1" "NIOZ164.1.10" "NIOZ164.1.11" "NIOZ164.1.12" "NIOZ164.1.13" "NIOZ164.1.14" "NIOZ164.1.15" "NIOZ164.1.2" "NIOZ164.1.3" "NIOZ164.1.4" "NIOZ164.1.5" "NIOZ164.1.6" "NIOZ164.1.7" "NIOZ164.1.8" "NIOZ164.1.9" "NIOZ164.2.1" "NIOZ164.2.10" "NIOZ164.2.11" "NIOZ164.2.12" "NIOZ164.2.13" "NIOZ164.2.14" "NIOZ164.2.2" "NIOZ164.2.3" "NIOZ164.2.4" "NIOZ164.2.5" "NIOZ164.2.6" "NIOZ164.2.7" "NIOZ164.2.8" "NIOZ164.2.9" "NIOZ164.3.1" "NIOZ164.3.10" "NIOZ164.3.11" "NIOZ164.3.12" "NIOZ164.3.13" "NIOZ164.3.14" "NIOZ164.3.15" "NIOZ164.3.2" "NIOZ164.3.3" "NIOZ164.3.4" "NIOZ164.3.5" "NIOZ164.3.6" "NIOZ164.3.7" "NIOZ164.3.8" "NIOZ164.3.9" "NIOZ164.4.1" "NIOZ164.4.10" "NIOZ164.4.11" "NIOZ164.4.12" "NIOZ164.4.13" "NIOZ164.4.14" "NIOZ164.4.2" "NIOZ164.4.3" "NIOZ164.4.4" "NIOZ164.4.5" "NIOZ164.4.6" "NIOZ164.4.7" "NIOZ164.4.8" "NIOZ164.4.9" "NIOZ164.5.1" "NIOZ164.5.10" "NIOZ164.5.11" "NIOZ164.5.12" "NIOZ164.5.2" "NIOZ164.5.3" "NIOZ164.5.4" "NIOZ164.5.5" "NIOZ164.5.6" "NIOZ164.5.7" "NIOZ164.5.8" "NIOZ164.5.9" "NIOZ164.6.1" "NIOZ164.6.2" "NIOZ164.6.3" "NIOZ164.6.4" "NIOZ164.6.5" "NIOZ164.6.6" "NIOZ164.6.7" "NIOZ164.7.1" "NIOZ164.7.2" "NIOZ164.7.3" "NIOZ164.7.4" "NIOZ164.7.5" "NIOZ164.7.6" "NIOZ164.7.7" "NIOZ164.7.8" "NIOZ164.7.9" "taxonomy"
"1" "asv.1" 1016.85036533406 411 167 506 3215 8 136 34 28 678 393 871 228 431 233 330 37586 143 NA 25 273 20 39620 756 787 574 437 171 64 417 879 1272 796 2629 2822 339 179 2477 25438 447 2676 1780 846 2737 5169 3 19 46 10 5251 22 47 NA 782 203 239 523 60 14 4 112 881 38 1671 565 180 271 629 89 144 147 NA 4 NA NA 2 NA NA 11642 NA 15 673 19 33 79 2192 144 "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes/avidum"
"45" "asv.362" 113.496566837107 NA NA 289 805 NA NA 22 NA NA NA NA NA NA NA NA 263 5 NA NA NA NA NA NA NA NA 37 167 NA NA NA NA 150 NA 312 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 408 NA NA NA NA NA NA 86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 271 NA NA NA NA 30 NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;NA"
"46" "asv.3657" 183.837253469686 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;nutrimenti"
"47" "asv.368" 351.023813002191 971 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 34 NA NA NA 19 NA 535 14 NA NA 142 NA NA 175 NA 7 NA NA NA NA NA 7 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Moheibacter;NA"
"48" "asv.3796" 172.283710737765 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14 NA NA NA NA NA 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;NA;NA"
"49" "asv.3897" 47.2336011687363 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;NA"
"50" "asv.3962" 271.848064280497 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;NA"
"51" "asv.4" 624.30256201708 252 103 310 1974 5 84 21 17 416 241 535 140 265 143 203 6888 90 1819 169 103 20 2393 1656 1195 NA 196 1127 59 1630 29 40 55 454 906 46 174 282 67 145 399 276 9 61 702 1 4 42 6 2711 20 441 1 5038 8659 319 856 109 9 2 12 3263 NA 68 143 51 11 128 11 16 NA NA NA NA NA NA NA NA 6216 4 7 2994 41 406 19 4617 181 "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"52" "asv.4491" 91.7487216946676 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;glacieisoli"
"53" "asv.45474" 15.1346075640504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;gracilis/lanceolatus"
"54" "asv.4656" 645.112647417649 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;NA"
"55" "asv.479" 180.099342585829 NA 27 NA NA NA NA NA NA 546 NA NA NA NA NA 372 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 640 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 541 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA"
"56" "asv.5151" 55.0492330168006 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 63 107 NA NA NA NA NA NA NA NA 3 NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;taiwanensis"
"57" "asv.5258" 211.022059897736 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Xylophilus;NA"
"58" "asv.54" 25.8255661066472 418 NA 99 1565 NA NA NA NA NA NA 63 32 NA 8 NA NA NA NA NA NA NA NA NA NA 16 213 NA NA NA 1 3 302 1025 284 17 5 NA 874 157 NA 11 NA NA NA NA NA NA NA 284 NA NA NA 18129 NA NA 330 NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA 1177 NA NA 4 5 NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;aquatilis/faecalis"
"59" "asv.55047" 3.05829072315559 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus;NA"
"60" "asv.5956" 70.0008765522279 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;insubricum/phlei/tuberculosis"
"61" "asv.6068" 184.177063550037 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;NA;NA;NA"
"62" "asv.67507" 1.35924032140248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;delbrueckii"
"63" "asv.6810" 154.273776479182 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;sediminis"
"64" "asv.6831" 163.788458728999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;NA"
"65" "asv.73" 633.026795442332 NA 876 1479 442 NA NA NA 196 921 NA 403 1250 819 NA 466 NA NA NA NA NA NA 675 88 NA NA NA 429 17 552 404 NA NA 336 NA 516 176 286 NA 148 NA NA NA NA NA NA NA NA NA NA 4 112 NA 1098 1184 NA NA NA NA NA NA NA NA NA NA NA NA 14 NA 1 NA NA NA NA NA NA NA NA 422 NA NA NA NA 72 9 NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia;NA"
"66" "asv.760" 60.4861943024105 NA NA 681 400 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 344 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA 30 NA NA NA NA NA NA NA NA NA NA 190 NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;NA"
"67" "asv.768" 72.7193571950329 NA NA NA NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA NA 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 265 NA NA 3 NA NA 58 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;NA"
"68" "asv.7736" 144.079474068663 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;NA"
"69" "asv.82" 107.040175310446 NA 334 NA 338 16 NA NA 441 308 187 228 406 NA NA 989 86 1 336 NA NA NA 681 NA NA 2 29 NA NA NA 844 NA NA 119 2186 7 366 NA 106 275 NA 1606 70 NA 749 NA NA NA NA 1055 NA 154 NA 3247 1684 NA 331 28 NA NA NA 2102 NA NA NA 13 NA NA NA NA NA NA NA NA NA NA NA NA 580 NA NA 270 2 NA 3 NA 2 "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;NA"
"70" "asv.8280" 132.865741417093 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinibacter;aureus"
"71" "asv.848" 530.103725346969 215 NA NA NA NA NA NA NA NA NA NA NA 335 NA NA NA NA NA NA 20 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 650 NA NA NA 7 161 NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;aquatica"
"72" "asv.863" 131.16669101534 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 NA NA NA 153 NA NA NA NA NA NA 12 NA NA NA NA NA 177 NA NA NA NA NA NA NA 14 NA 1 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;cryptus"
"73" "asv.885" 212.830418869459 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 371 NA 547 NA NA NA 517 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 378 NA NA NA NA NA NA NA NA NA NA NA NA 34 NA 2 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;arthrosphaerae/assamensis/chocolatum/enclense/hominis/hydrothermale/lemovicicum/paraoxydans/proteolyticum/schleiferi/testaceum/trichothecenolyticum/zeae"
"74" "asv.894" 262.963806425376 NA 425 NA NA NA 14 NA NA NA NA 225 NA 325 NA NA NA NA NA NA NA 7 NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;namnetense"
"75" "asv.8955" 120.63257852447 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava;NA"
"76" "asv.9" 664.656909176083 269 110 331 2101 5 89 21 18 443 257 570 149 282 152 215 1746 83 1477 114 141 NA 2837 969 748 10 78 96 36 950 68 2043 1589 484 NA 433 NA 302 1290 910 873 2048 182 1487 2538 NA NA 36 NA NA 7 79 1 636 2991 256 247 81 3 NA 8 NA NA 20 113 47 NA 18 13 11 NA NA NA NA NA NA NA NA 5651 NA 19 6200 22 636 41 2035 73 "Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;maltophilia/pavanii"
"77" "asv.956" 349.324762600438 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 65 NA NA NA NA NA NA NA 25 NA NA NA NA NA 291 NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 201 "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;NA;NA"
"78" "asv.9661" 108.739225712199 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Rickettsiella;NA"
